Node Name	Path	First Occurrence	Frequency
metadata	/metadata	/metadata	1
record	/metadata/record	/metadata/record[1]	3552
Title	/metadata/record/Title	/metadata/record[1]/Title[1]	3552
ImageID	/metadata/record/ImageID	/metadata/record[1]/ImageID[1]	3552
IdentifiedLocations	/metadata/record/IdentifiedLocations	/metadata/record[1]/IdentifiedLocations[1]	3552
DateRange	/metadata/record/DateRange	/metadata/record[1]/DateRange[1]	3552
OriginalDate	/metadata/record/OriginalDate	/metadata/record[1]/OriginalDate[1]	3552
Description	/metadata/record/Description	/metadata/record[1]/Description[1]	3552
Identifiedindividuals	/metadata/record/Identifiedindividuals	/metadata/record[1]/Identifiedindividuals[1]	3552
Theme	/metadata/record/Theme	/metadata/record[1]/Theme[1]	3552
Subtheme	/metadata/record/Subtheme	/metadata/record[1]/Subtheme[1]	3552
GraphicelementsTGM	/metadata/record/GraphicelementsTGM	/metadata/record[1]/GraphicelementsTGM[1]	3552
Photographer	/metadata/record/Photographer	/metadata/record[1]/Photographer[1]	3552
Copyright	/metadata/record/Copyright	/metadata/record[1]/Copyright[1]	3552
GenreTGM	/metadata/record/GenreTGM	/metadata/record[1]/GenreTGM[1]	3552
OrderingInformation	/metadata/record/OrderingInformation	/metadata/record[1]/OrderingInformation[1]	3552
ResourceType	/metadata/record/ResourceType	/metadata/record[1]/ResourceType[1]	3552
Language	/metadata/record/Language	/metadata/record[1]/Language[1]	3552
Notes	/metadata/record/Notes	/metadata/record[1]/Notes[1]	3552
Digitalpublisher	/metadata/record/Digitalpublisher	/metadata/record[1]/Digitalpublisher[1]	3552
Digitalcollection	/metadata/record/Digitalcollection	/metadata/record[1]/Digitalcollection[1]	3552
DateDigital	/metadata/record/DateDigital	/metadata/record[1]/DateDigital[1]	3552
Format	/metadata/record/Format	/metadata/record[1]/Format[1]	3552
DigitizationSpecifications	/metadata/record/DigitizationSpecifications	/metadata/record[1]/DigitizationSpecifications[1]	3552
ItemURL	/metadata/record/ItemURL	/metadata/record[1]/ItemURL[1]	3552
OCLCnumber	/metadata/record/OCLCnumber	/metadata/record[1]/OCLCnumber[1]	3552
Datecreated	/metadata/record/Datecreated	/metadata/record[1]/Datecreated[1]	3552
Datemodified	/metadata/record/Datemodified	/metadata/record[1]/Datemodified[1]	3552
CONTENTdmnumber	/metadata/record/CONTENTdmnumber	/metadata/record[1]/CONTENTdmnumber[1]	3552
CONTENTdmfilename	/metadata/record/CONTENTdmfilename	/metadata/record[1]/CONTENTdmfilename[1]	3552
CONTENTdmfilepath	/metadata/record/CONTENTdmfilepath	/metadata/record[1]/CONTENTdmfilepath[1]	3552
