Node Name	Path	First Occurrence	Frequency
metadata	/metadata	/metadata	1
record	/metadata/record	/metadata/record[1]	75
DigitalID	/metadata/record/DigitalID	/metadata/record[1]/DigitalID[1]	75
Title	/metadata/record/Title	/metadata/record[1]/Title[1]	75
Description	/metadata/record/Description	/metadata/record[1]/Description[1]	75
Creator	/metadata/record/Creator	/metadata/record[1]/Creator[1]	75
IdentifiedIndividuals	/metadata/record/IdentifiedIndividuals	/metadata/record[1]/IdentifiedIndividuals[1]	75
Publisher	/metadata/record/Publisher	/metadata/record[1]/Publisher[1]	75
Contributors	/metadata/record/Contributors	/metadata/record[1]/Contributors[1]	75
Source	/metadata/record/Source	/metadata/record[1]/Source[1]	75
Originalcollection	/metadata/record/Originalcollection	/metadata/record[1]/Originalcollection[1]	75
Date	/metadata/record/Date	/metadata/record[1]/Date[1]	75
Daterange	/metadata/record/Daterange	/metadata/record[1]/Daterange[1]	75
Graphicelements	/metadata/record/Graphicelements	/metadata/record[1]/Graphicelements[1]	75
Subject	/metadata/record/Subject	/metadata/record[1]/Subject[1]	75
Theme	/metadata/record/Theme	/metadata/record[1]/Theme[1]	75
Genre	/metadata/record/Genre	/metadata/record[1]/Genre[1]	75
Copyright	/metadata/record/Copyright	/metadata/record[1]/Copyright[1]	75
Orderinginformation	/metadata/record/Orderinginformation	/metadata/record[1]/Orderinginformation[1]	75
Type	/metadata/record/Type	/metadata/record[1]/Type[1]	75
Language	/metadata/record/Language	/metadata/record[1]/Language[1]	75
IsPartOf	/metadata/record/IsPartOf	/metadata/record[1]/IsPartOf[1]	75
Notes	/metadata/record/Notes	/metadata/record[1]/Notes[1]	75
Digitalpublisher	/metadata/record/Digitalpublisher	/metadata/record[1]/Digitalpublisher[1]	75
Digitalcollection	/metadata/record/Digitalcollection	/metadata/record[1]/Digitalcollection[1]	75
Datedigital	/metadata/record/Datedigital	/metadata/record[1]/Datedigital[1]	75
Format	/metadata/record/Format	/metadata/record[1]/Format[1]	75
Masterfilequality	/metadata/record/Masterfilequality	/metadata/record[1]/Masterfilequality[1]	75
ConversionSpecifications	/metadata/record/ConversionSpecifications	/metadata/record[1]/ConversionSpecifications[1]	75
ItemURL	/metadata/record/ItemURL	/metadata/record[1]/ItemURL[1]	75
OCLCnumber	/metadata/record/OCLCnumber	/metadata/record[1]/OCLCnumber[1]	75
Datecreated	/metadata/record/Datecreated	/metadata/record[1]/Datecreated[1]	75
Datemodified	/metadata/record/Datemodified	/metadata/record[1]/Datemodified[1]	75
CONTENTdmnumber	/metadata/record/CONTENTdmnumber	/metadata/record[1]/CONTENTdmnumber[1]	75
CONTENTdmfilename	/metadata/record/CONTENTdmfilename	/metadata/record[1]/CONTENTdmfilename[1]	75
CONTENTdmfilepath	/metadata/record/CONTENTdmfilepath	/metadata/record[1]/CONTENTdmfilepath[1]	75
