Node Name	Path	First Occurrence	Frequency
metadata	/metadata	/metadata	1
record	/metadata/record	/metadata/record[1]	539
DigitalID	/metadata/record/DigitalID	/metadata/record[1]/DigitalID[1]	539
Title	/metadata/record/Title	/metadata/record[1]/Title[1]	539
Artist	/metadata/record/Artist	/metadata/record[1]/Artist[1]	539
Commissioner	/metadata/record/Commissioner	/metadata/record[1]/Commissioner[1]	539
Date	/metadata/record/Date	/metadata/record[1]/Date[1]	539
Description	/metadata/record/Description	/metadata/record[1]/Description[1]	539
Medium	/metadata/record/Medium	/metadata/record[1]/Medium[1]	539
Sitelocation	/metadata/record/Sitelocation	/metadata/record[1]/Sitelocation[1]	539
Address	/metadata/record/Address	/metadata/record[1]/Address[1]	539
Photographer	/metadata/record/Photographer	/metadata/record[1]/Photographer[1]	539
PhotographDate	/metadata/record/PhotographDate	/metadata/record[1]/PhotographDate[1]	539
IdentifiedLocation	/metadata/record/IdentifiedLocation	/metadata/record[1]/IdentifiedLocation[1]	539
Subject	/metadata/record/Subject	/metadata/record[1]/Subject[1]	539
Format	/metadata/record/Format	/metadata/record[1]/Format[1]	539
Filename	/metadata/record/Filename	/metadata/record[1]/Filename[1]	539
DigitalCollection	/metadata/record/DigitalCollection	/metadata/record[1]/DigitalCollection[1]	539
Type	/metadata/record/Type	/metadata/record[1]/Type[1]	539
Language	/metadata/record/Language	/metadata/record[1]/Language[1]	539
Publisher	/metadata/record/Publisher	/metadata/record[1]/Publisher[1]	539
Rights	/metadata/record/Rights	/metadata/record[1]/Rights[1]	539
ItemURL	/metadata/record/ItemURL	/metadata/record[1]/ItemURL[1]	539
OCLCnumber	/metadata/record/OCLCnumber	/metadata/record[1]/OCLCnumber[1]	539
Datecreated	/metadata/record/Datecreated	/metadata/record[1]/Datecreated[1]	539
Datemodified	/metadata/record/Datemodified	/metadata/record[1]/Datemodified[1]	539
CONTENTdmnumber	/metadata/record/CONTENTdmnumber	/metadata/record[1]/CONTENTdmnumber[1]	539
CONTENTdmfilename	/metadata/record/CONTENTdmfilename	/metadata/record[1]/CONTENTdmfilename[1]	539
CONTENTdmfilepath	/metadata/record/CONTENTdmfilepath	/metadata/record[1]/CONTENTdmfilepath[1]	539
